step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5
1	-74.285278416255395	-74.947276044366532	0.661997628111137	0.055555555555556	0.055555555555556	1.000000000000000	0.833361717729939	0.000000000000000	-1	3	6	9	13	0	1	1	1	1	1	1	2	3	4
500	-58.545985233780605	-60.404367751425092	1.858382517644488	0.055790511209336	0.055790511209336	1.000000000000000	0.951842364218381	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
1000	-61.851871138974012	-61.425328339172232	-0.426542799801781	0.055766627171263	0.055766627171263	1.000000000000000	0.738424488157697	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
1500	-64.883040048833550	-66.274880956694176	1.391840907860630	0.055957121999097	0.055957121999097	1.000000000000000	0.903757869131018	0.000000000000000	-2	3	6	9	13	0	1	2	2	3	1	1	1	1	2
2000	-62.422333075727451	-64.559602947397991	2.137269871670540	0.055839574188775	0.055839574188775	1.000000000000000	0.981799312183906	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	2	1
2500	-58.759750848562589	-60.547630568450138	1.787879719887550	0.055301211132028	0.055301211132028	1.000000000000000	0.944415099065184	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
3000	-63.445440879353065	-64.974641182406060	1.529200303052996	0.054778995504798	0.054778995504798	1.000000000000000	0.917656957053001	0.000000000000000	-2	3	6	7	13	0	1	2	1	4	1	1	1	2	1
3500	-59.841552632186037	-61.649952794567191	1.808400162381158	0.054691306421648	0.054691306421648	1.000000000000000	0.946570868620493	0.000000000000000	-3	3	6	9	13	0	1	2	2	4	1	1	1	1	1
4000	-58.410461208501118	-60.648492522624103	2.238031314122983	0.054009067639197	0.054009067639197	1.000000000000000	0.992853019909090	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
4500	-60.317411918558200	-61.526828859634499	1.209416941076296	0.052256225662672	0.052256225662672	1.000000000000000	0.885623707472288	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
5000	-59.058352135834902	-60.311293610485698	1.252941474650796	0.065274452794740	0.065274452794740	1.000000000000000	0.889917009190129	0.000000000000000	-4	3	6	9	13	0	1	2	2	4	1	1	1	1	1
5500	-56.437767379676075	-58.051829019034798	1.614061639358726	0.077405222496994	0.077405222496994	1.000000000000000	0.926350500253810	0.000000000000000	-4	3	6	9	13	0	1	2	2	4	1	1	1	1	1
6000	-53.959590467935229	-56.124565689452901	2.164975221517668	0.080540021529826	0.080540021529826	1.000000000000000	0.984826312624248	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
6500	-49.511672177721195	-51.050485665768583	1.538813488047390	0.139696366064067	0.139696366064067	1.000000000000000	0.918637659173649	0.000000000000000	-1	3	6	9	13	0	1	1	2	4	1	1	1	1	1
7000	-42.745087480085722	-44.975330645122860	2.230243165037140	0.316690187708885	0.316690187708885	1.000000000000000	0.991994226281239	0.000000000000000	-2	3	6	9	13	0	1	1	3	4	1	1	1	1	1
7500	-42.059828148922428	-43.964387585252503	1.904559436330076	0.331447827773045	0.331447827773045	1.000000000000000	0.956738597247498	0.000000000000000	-3	3	6	8	13	0	1	2	3	4	1	1	1	1	1
8000	-40.611236585114661	-42.496726914157165	1.885490329042501	0.476843462105197	0.476843462105197	1.000000000000000	0.954713615376300	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
8500	-43.807845502462698	-45.297279054909900	1.489433552447205	0.277838283056355	0.277838283056355	1.000000000000000	0.913611208943585	0.000000000000000	-1	3	6	9	13	0	1	1	2	4	1	1	1	1	1
9000	-41.039752465271626	-43.303281309314904	2.263528844043282	0.547512213999696	0.547512213999696	1.000000000000000	0.995669819168768	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
9500	-45.044423060494850	-46.233153236997580	1.188730176502728	0.474736024936550	0.474736024936550	1.000000000000000	0.883590413034644	0.000000000000000	-5	3	6	9	13	0	1	2	3	3	1	1	1	1	1
10000	-46.170030929979760	-47.460254671733743	1.290223741753981	0.441383978669365	0.441383978669365	1.000000000000000	0.893611113455005	0.000000000000000	-4	3	6	9	13	0	1	2	2	3	1	1	1	1	2
10500	-41.273880370303239	-43.414016554674831	2.140136184371590	0.456443314501974	0.456443314501974	1.000000000000000	0.982112044629361	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
