step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5
36000	-43.147761931558591	-44.789943438712911	1.642181507154322	0.559555190951277	0.559555190951277	1.000000000000000	0.929249343578369	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
36500	-48.239042345649594	-49.118895669257341	0.879853323607746	0.511612635792804	0.511612635792804	1.000000000000000	0.853780360220678	0.000000000000000	-1	3	6	9	13	0	1	1	3	3	1	1	1	2	2
37000	-41.570817446346496	-43.205329742260218	1.634512295913719	0.525785029297144	0.525785029297144	1.000000000000000	0.928457835360793	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
37500	-41.264878342028425	-43.197506110229952	1.932627768201528	0.402836124420181	0.402836124420181	1.000000000000000	0.959727038908392	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
38000	-41.078148805544899	-43.152589244499715	2.074440438954815	0.413204627176090	0.413204627176090	1.000000000000000	0.974969192417165	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
38500	-42.678188522767506	-44.552867887670601	1.874679364903095	0.434544382111351	0.434544382111351	1.000000000000000	0.953567484484198	0.000000000000000	-4	3	6	9	13	0	1	2	2	4	1	1	1	1	1
39000	-43.839739775347397	-46.034807442095101	2.195067666747701	0.207268861262957	0.207268861262957	1.000000000000000	0.988124694001809	0.000000000000000	-1	3	6	7	13	0	1	2	2	4	1	1	1	1	1
39500	-46.070982836358169	-44.095504624186816	-1.975478212171354	0.372847623490367	0.372847623490367	1.000000000000000	0.621673423182943	0.000000000000000	-1	3	6	9	10	0	1	2	3	4	1	1	1	1	1
40000	-41.363340754784133	-43.648545678276314	2.285204923492184	0.436002793263865	0.436002793263865	1.000000000000000	0.998070733487079	0.000000000000000	-3	3	4	9	13	0	1	2	3	4	1	1	1	1	1
40500	-40.866901511226160	-43.147652755399236	2.280751244173072	0.457075829886070	0.457075829886070	1.000000000000000	0.997576957116717	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
41000	-41.482855013128578	-43.246807227897776	1.763952214769197	0.386617178785958	0.386617178785958	1.000000000000000	0.941907600761314	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
41500	-42.575725108778236	-43.852887624850204	1.277162516071969	0.375221653299968	0.375221653299968	1.000000000000000	0.892315203311632	0.000000000000000	-3	3	6	9	12	0	1	2	2	4	1	1	1	1	1
42000	-40.902768269603428	-42.824222685707824	1.921454416104393	0.508260760393060	0.508260760393060	1.000000000000000	0.958536292860172	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
42500	-40.633338153390532	-42.878986611686791	2.245648458296257	0.431948939084847	0.431948939084847	1.000000000000000	0.993693676113940	0.000000000000000	-3	3	6	9	12	0	1	2	3	4	1	1	1	1	1
43000	-40.105914553404446	-42.203921398487722	2.098006845083276	0.446365043976353	0.446365043976353	1.000000000000000	0.977525484429802	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
43500	-41.422487166058801	-43.680120142437566	2.257632976378766	0.369586412379827	0.369586412379827	1.000000000000000	0.995017773047360	0.000000000000000	-3	3	6	8	13	0	1	2	2	4	1	1	1	1	1
44000	-42.568746170341058	-43.590616449482482	1.021870279141426	0.422589438979644	0.422589438979644	1.000000000000000	0.867359581487179	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
44500	-43.127568836160364	-44.948635493736376	1.821066657576015	0.413700732845204	0.413700732845204	1.000000000000000	0.947903999334429	0.000000000000000	-1	3	6	9	13	0	1	1	3	3	1	1	1	1	1
45000	-41.654658386161117	-43.825012346789435	2.170353960628317	0.379548738253019	0.379548738253019	1.000000000000000	0.985415057846545	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	1
45500	-41.394736857897755	-43.392936194456794	1.998199336559040	0.447245472915136	0.447245472915136	1.000000000000000	0.966744884833754	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
46000	-41.746561752577136	-43.866328379620278	2.119766627043143	0.376371289353623	0.376371289353623	1.000000000000000	0.979891759523397	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	1
46500	-41.737803472856619	-43.938402110941873	2.200598638085252	0.530571765511145	0.530571765511145	1.000000000000000	0.988732135008229	0.000000000000000	-1	3	6	9	13	0	1	2	3	3	1	1	1	1	1
47000	-43.605820894536627	-45.413060461493032	1.807239566956405	0.431069762215053	0.431069762215053	1.000000000000000	0.946448811399573	0.000000000000000	-3	3	2	9	13	0	1	1	2	4	1	1	1	1	1
47500	-49.410014439028814	-48.926123059941446	-0.483891379087370	0.428945515316293	0.428945515316293	1.000000000000000	0.733734159199611	0.000000000000000	-1	3	6	9	12	0	1	2	2	2	1	1	1	1	4
48000	-46.641759930587789	-47.282299832231686	0.640539901643895	0.557793556908095	0.557793556908095	1.000000000000000	0.831377190218553	0.000000000000000	-3	3	6	9	13	0	1	1	3	4	1	1	1	1	1
48500	-43.071122617564932	-44.877401173918159	1.806278556353227	0.496750223795356	0.496750223795356	1.000000000000000	0.946347755979063	0.000000000000000	-2	3	6	9	11	0	1	2	3	2	1	1	1	1	1
49000	-41.062930628688747	-42.864552839501975	1.801622210813231	0.329685033030065	0.329685033030065	1.000000000000000	0.945858269040795	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
49500	-40.810089014536302	-43.045285791722449	2.235196777186144	0.399397773949237	0.399397773949237	1.000000000000000	0.992540371528220	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
50000	-42.566407331481088	-44.646056678512245	2.079649347031157	0.334440765136792	0.334440765136792	1.000000000000000	0.975533636286818	0.000000000000000	-1	3	6	9	13	0	1	2	2	3	1	1	1	1	1
50500	-49.191331282513957	-50.877460505528489	1.686129223014531	0.351251533773613	0.351251533773613	1.000000000000000	0.933798038817474	0.000000000000000	-5	3	6	7	13	0	1	2	3	4	1	1	1	1	3
51000	-43.988467840577975	-45.908617484182585	1.920149643604607	0.592755881685229	0.592755881685229	1.000000000000000	0.958397339400010	0.000000000000000	-4	3	6	9	11	0	1	2	3	4	1	1	1	1	1
51500	-44.857186969923916	-45.194062954615632	0.336875984691717	0.350969817865934	0.350969817865934	1.000000000000000	0.803794111239963	0.000000000000000	-4	3	6	9	13	0	1	2	2	4	1	1	1	1	1
52000	-46.203094408766688	-47.486871812300777	1.283777403534085	0.479049546441574	0.479049546441574	1.000000000000000	0.892971284904718	0.000000000000000	-1	3	6	9	13	0	1	1	3	3	1	2	1	1	1
52500	-44.916057707945406	-46.580733683345997	1.664675975400591	0.358560721771068	0.358560721771068	1.000000000000000	0.931574800680284	0.000000000000000	-1	3	4	9	13	0	1	1	2	4	1	1	1	1	2
53000	-43.174723262214030	-45.182755008121745	2.008031745907714	0.445918752908981	0.445918752908981	1.000000000000000	0.967801621014736	0.000000000000000	-3	3	6	9	13	0	1	2	2	3	1	1	1	1	1
53500	-43.929305502459172	-45.836104935465940	1.906799433006767	0.281428776127843	0.281428776127843	1.000000000000000	0.956976748135923	0.000000000000000	-2	3	6	9	13	0	1	1	2	4	1	1	1	1	1
54000	-42.862593010375484	-45.118948097157990	2.256355086782508	0.378660466978942	0.378660466978942	1.000000000000000	0.994876502759113	0.000000000000000	-3	3	6	9	13	0	1	2	2	3	1	1	1	1	1
54500	-45.522740183326775	-46.568128676410311	1.045388493083539	0.358204729072010	0.358204729072010	1.000000000000000	0.869629073017508	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	2
55000	-41.456154340548494	-42.873097164248207	1.416942823699717	0.400784595381942	0.400784595381942	1.000000000000000	0.906282060270984	0.000000000000000	-2	3	6	9	13	0	1	2	3	4	1	1	1	1	1
55500	-44.230767169141053	-45.054557469984701	0.823790300843645	0.411766398121091	0.411766398121091	1.000000000000000	0.848478500849302	0.000000000000000	-2	3	6	9	13	0	1	2	3	4	1	1	1	1	2
56000	-42.477853455920759	-43.853495008363794	1.375641552443036	0.493076138645351	0.493076138645351	1.000000000000000	0.902132632787251	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
56500	-50.546454645291313	-49.336210465262887	-1.210244180028425	0.543718392685960	0.543718392685960	1.000000000000000	0.676844065866269	0.000000000000000	-1	3	6	9	9	0	1	1	2	3	1	1	1	1	2
57000	-42.265548723877629	-44.107416908517308	1.841868184639680	0.385275907981853	0.385275907981853	1.000000000000000	0.950097405446239	0.000000000000000	-1	3	6	9	13	0	1	1	2	4	1	1	1	1	1
57500	-42.732441178842798	-44.903799898153125	2.171358719310323	0.460666198044664	0.460666198044664	1.000000000000000	0.985525075580362	0.000000000000000	-1	1	6	9	13	0	1	1	2	4	1	1	1	1	1
